ID,temperature_2m_°C,relative_humidity_2m_%,dew_point_2m_°C,apparent_temperature_°C,precipitation_mm,pressure_msl_hPa,surface_pressure_hPa,cloud_cover_%,cloud_cover_low_%,cloud_cover_mid_%,cloud_cover_high_%,vapour_pressure_deficit_kPa,wind_speed_10m_km/h,wind_speed_100m_km/h,wind_direction_10m_°,wind_direction_100m_°,wind_gusts_10m_km/h,soil_temperature_0_to_7cm_°C,soil_temperature_7_to_28cm_°C,soil_temperature_28_to_100cm_°C,soil_temperature_100_to_255cm_°C,soil_moisture_0_to_7cm_m/m,soil_moisture_7_to_28cm_m/m,soil_moisture_28_to_100cm_m/m,soil_moisture_100_to_255cm_m/m,shortwave_radiation_W/m,direct_radiation_W/m,diffuse_radiation_W/m,direct_normal_irradiance_W/m,global_tilted_irradiance_W/m,terrestrial_radiation_W/m,is_day_,sunshine_duration_s,electricity_shutdown,hour,day,month,year,day_of_week
434,21.8,98.0,21.4,25.7,0.05,1009.5,985.3,100.0,100.0,9.0,100,0.04,6.133333333333333,5.4,185.5,200.0,9.7,23.0,25.1,25.3,25.4,0.279,0.268,0.221,0.301,0,0,0,0.0,0,0.0,0,0.0,0.0,1,19,1,2022,2
435,21.6,99.0,21.5,25.3,0.1,1009.3,985.1,100.0,100.0,52.0,82,0.02,7.1,11.0,195.0,199.0,13.0,22.8,24.9,25.3,25.4,0.279,0.268,0.221,0.301,0,0,0,0.0,0,0.0,0,0.0,0.0,2,19,1,2022,2
436,21.6,97.0,21.1,25.8,0.3,1008.7,984.5,100.0,100.0,31.0,96,0.07,1.5,1.4,104.0,90.0,14.0,22.7,24.7,25.3,25.4,0.281,0.268,0.221,0.301,0,0,0,0.0,0,0.0,0,0.0,0.0,3,19,1,2022,2
437,21.3,95.5,21.0,25.2,0.0,1008.4,984.2,100.0,69.0,6.0,100,0.05,3.1,4.3,324.0,318.0,3.6,22.4,24.6,25.3,25.4,0.28,0.268,0.221,0.301,0,0,0,0.0,0,0.0,0,0.0,0.0,4,19,1,2022,2
438,22.2,94.0,21.1,26.5,0.0,1008.7,984.8,68.0,38.0,7.0,100,0.17,1.3,2.2,214.0,270.0,4.7,22.4,24.4,25.3,25.4,0.278,0.268,0.221,0.301,0,0,0,0.0,0,0.0,0,0.0,0.0,5,19,1,2022,2
439,21.4,98.0,21.1,25.2,0.0,1009.6,985.4,98.0,100.0,9.0,10,0.195,4.6,4.9,227.33333333333334,216.0,10.1,22.3,24.2,25.3,25.4,0.277,0.268,0.221,0.301,6,1,5,12.2,6,54.1,1,0.0,0.0,6,19,1,2022,2
440,23.4,92.0,22.1,27.5,0.03333333333333333,1009.5,985.4,69.0,19.0,49.0,76,0.22,5.9,10.2,240.66666666666666,309.0,13.0,23.6,24.0,25.3,25.4,0.269,0.267,0.221,0.301,109,42,67,198.7,109,339.05,1,3600.0,0.0,7,19,1,2022,2
441,24.459999999999997,88.0,22.6,29.0,0.06666666666666667,1009.9,985.7,43.0,32.0,16.0,15,0.37,6.7,8.4,254.0,263.0,15.8,24.5,24.0,25.3,25.4,0.268,0.267,0.221,0.301,257,132,125,298.9,257,624.0,1,3600.0,0.0,8,19,1,2022,2
442,25.52,81.0,22.8,30.4,0.1,1009.8,986.0,47.0,27.333333333333332,28.0,42,0.52,7.800000000000001,12.6,266.0,270.0,22.0,25.9,24.2,25.3,25.4,0.267,0.266,0.221,0.301,575,436,139,676.0,575,911.4,1,3600.0,0.0,9,19,1,2022,2
443,26.58,81.0,23.3,32.1,0.2,1009.7,985.9,63.33333333333333,22.666666666666664,13.0,6,0.67,8.9,11.4,256.0,257.0,29.2,27.0,24.4,25.3,25.4,0.266,0.265,0.221,0.301,681,518,163,641.3,681,1141.2,1,3600.0,0.0,10,19,1,2022,2
444,27.64,78.0,24.0,34.4,0.1,1009.1,985.4,79.66666666666666,18.0,3.0,3,0.85,10.05,14.1,229.0,232.0,29.2,28.3,24.7,25.3,25.4,0.263,0.264,0.22,0.301,854,686,168,746.9,854,1297.8,1,3600.0,0.0,11,19,1,2022,2
445,28.7,76.0,24.1,35.2,0.1,1008.6,985.0,96.0,100.0,3.0,15,0.625,11.2,13.7,230.0,235.0,31.0,29.2,25.1,25.3,25.4,0.26,0.263,0.22,0.301,907,693,214,714.5,907,1370.5,1,3600.0,0.0,12,19,1,2022,2
446,25.1,87.0,22.8,28.3,5.3,1008.5,984.6,100.0,100.0,11.0,81,0.4,15.0,20.2,240.0,239.0,30.25,28.1,25.3,25.3,25.4,0.32,0.263,0.22,0.301,394,67,327,69.9,394,1354.3,1,3600.0,0.0,13,19,1,2022,2
447,24.400000000000002,87.0,22.9,29.9,6.2,1008.4,984.5,100.0,100.0,14.0,85,0.51,11.2,10.6,255.0,260.0,29.5,27.6,25.5,25.3,25.4,0.324,0.27,0.22,0.301,500,188,312,212.5,500,1250.3,1,3600.0,0.0,14,19,1,2022,2
448,23.7,87.0,22.8,29.6,7.1,1007.6,983.7,100.0,100.0,21.5,92,0.43,7.4,9.5,231.0,233.0,23.8,26.8,25.7,25.3,25.4,0.32,0.274,0.22,0.3,292,33,259,43.8,292,1065.6,1,0.0,0.0,15,19,1,2022,2
449,23.0,94.0,22.0,26.4,8.0,1007.9,983.8,100.0,100.0,29.0,100,0.17,8.15,15.9,248.25,274.0,29.2,26.1,25.7,25.3,25.4,0.38,0.289,0.22,0.3,296,89,207,154.7,296,812.8,1,2841.44,0.0,16,19,1,2022,2
450,22.816666666666666,90.0,21.7,26.9,0.9,1008.0,984.0,100.0,100.0,26.0,100,0.27,8.9,14.5,265.5,333.0,22.0,25.0,25.7,25.3,25.4,0.343,0.303,0.22,0.3,90,4,86,11.1,90,509.0,1,0.0,0.0,17,19,1,2022,2
451,22.633333333333333,92.0,21.7,26.7,1.4,1008.8,984.7,100.0,100.0,100.0,100,0.22,7.5,13.1,282.75,326.4,14.8,24.4,25.6,25.3,25.4,0.344,0.307,0.221,0.3,31,10,21,63.0,31,175.0,1,63.18,0.0,18,19,1,2022,2
452,22.45,92.0,21.7,26.9,3.1,1009.3,985.2,93.0,1.0,17.0,100,0.2,6.533333333333333,10.1,300.0,319.8,14.0,24.5,25.4,25.3,25.4,0.313,0.29,0.221,0.3,0,0,0,0.0,0,0.0,0,0.0,0.0,19,19,1,2022,2
453,22.266666666666666,92.0,21.5,26.6,0.0,1009.8,985.55,86.0,47.0,22.0,100,0.18,5.566666666666666,10.5,318.0,313.2,10.8,23.8,25.2,25.3,25.4,0.307,0.291,0.221,0.3,0,0,0,0.0,0,0.0,0,0.0,0.0,20,19,1,2022,2
454,22.083333333333332,92.0,21.4,26.7,0.0,1010.0,985.9,70.0,36.0,13.0,100,0.21,4.6,10.7,321.0,306.6,9.7,23.5,25.1,25.3,25.4,0.303,0.291,0.221,0.3,0,0,0,0.0,0,0.0,0,0.0,0.0,21,19,1,2022,2
455,21.9,94.0,20.9,25.6,0.0,1010.4,986.2,64.0,23.0,23.0,100,0.16,4.8,10.8,297.0,300.0,8.6,23.1,24.9,25.3,25.4,0.3,0.291,0.221,0.3,0,0,0,0.0,0,0.0,0,0.0,0.0,22,19,1,2022,2
456,21.939999999999998,94.0,20.7,25.2,0.0,1010.5,986.3,50.0,3.0,28.0,100,0.15,5.2,9.5,308.5,295.0,7.6,22.8,24.8,25.3,25.4,0.297,0.291,0.222,0.3,0,0,0,0.0,0,0.0,0,0.0,0.0,23,19,1,2022,2
457,21.98,93.0,20.9,25.6,0.7,1010.4,986.2,100.0,67.0,100.0,100,0.16999999999999998,5.6,12.5,320.0,316.0,11.9,22.7,24.6,25.3,25.4,0.303,0.291,0.222,0.3,0,0,0,0.0,0,0.0,0,0.0,0.0,0,20,1,2022,3
458,22.02,93.5,21.0,26.0,0.95,1009.9,985.7,100.0,20.0,88.5,100,0.19,3.6,9.2,307.0,312.0,12.2,22.7,24.5,25.3,25.4,0.315,0.292,0.222,0.3,0,0,0,0.0,0,0.0,0,0.0,0.0,1,20,1,2022,3
459,22.060000000000002,94.0,20.9,25.3,1.2,1009.8,985.6,100.0,17.0,77.0,100,0.15,6.7,11.5,324.0,314.0,11.5,22.6,24.3,25.3,25.4,0.323,0.293,0.222,0.3,0,0,0,0.0,0,0.0,0,0.0,0.0,2,20,1,2022,3
460,22.1,91.0,20.5,25.2,1.8,1009.0,984.8,100.0,14.0,100.0,100,0.25,7.7,16.1,323.0,326.0,17.3,22.4,24.2,25.3,25.4,0.332,0.297,0.222,0.3,0,0,0,0.0,0,0.0,0,0.0,0.0,3,20,1,2022,3
461,22.0,89.0,20.1,24.7,2.2333333333333334,1009.0,984.8,88.0,20.0,69.0,94,0.3,8.7,16.4,318.0,322.0,16.9,22.2,24.0,25.2,25.4,0.326,0.3,0.223,0.3,0,0,0,0.0,0,0.0,0,0.0,0.0,4,20,1,2022,3
462,21.900000000000002,93.0,20.5,24.8,2.666666666666667,1009.4,985.2,100.0,52.0,100.0,69,0.19,6.699999999999999,14.4,300.0,302.0,16.9,22.1,23.9,25.2,25.4,0.343,0.303,0.223,0.3,0,0,0,0.0,0,26.45,0,0.0,0.0,5,20,1,2022,3
463,21.8,92.0,20.5,25.3,3.1,1009.7,985.5,100.0,84.0,100.0,100,0.2,4.7,10.6,328.0,305.0,13.7,22.1,23.8,25.2,25.4,0.359,0.311,0.224,0.3,2,0,2,0.0,2,52.9,1,0.0,0.0,6,20,1,2022,3
464,22.5,90.0,20.8,25.8,3.2,1010.4,986.2,100.0,100.0,100.0,100,0.28,5.9,15.0,319.0,302.5,11.5,23.2,23.7,25.2,25.4,0.344,0.32,0.224,0.3,34,13,21,61.9,34,296.5,1,0.0,0.0,7,20,1,2022,3
465,23.1,91.0,21.6,26.8,5.1,1011.1,987.0,100.0,100.0,100.0,100,0.25,7.1,12.4,294.0,300.0,13.3,23.1,23.7,25.2,25.4,0.374,0.33,0.225,0.3,49,0,49,0.0,49,622.4,1,0.0,0.0,8,20,1,2022,3
466,23.3,90.0,21.5,26.7,5.2,1011.6,987.5,96.66666666666667,91.0,100.0,100,0.29,7.75,11.7,324.0,326.0,14.55,23.3,23.7,25.2,25.4,0.373,0.348,0.227,0.3,93,7,86,10.9,93,910.4,1,0.0,0.0,9,20,1,2022,3
467,23.5,89.0,21.5,27.0,1.0,1011.4,987.3,93.33333333333333,9.0,100.0,100,0.33,8.4,12.3,310.0,310.0,15.8,23.5,23.7,25.2,25.4,0.356,0.349,0.229,0.3,124,0,124,0.0,124,1140.9,1,0.0,0.0,10,20,1,2022,3
468,23.48,89.0,21.7,27.3,0.8,1011.1,987.0,90.0,0.0,100.0,99,0.34,8.3,12.1,304.0,307.0,15.5,23.6,23.7,25.2,25.4,0.349,0.347,0.232,0.3,135,1,134,1.1,135,1298.0,1,0.0,0.0,11,20,1,2022,3
469,23.46,85.0,21.8,27.8,0.7,1010.6,986.6,100.0,30.0,100.0,100,0.46,8.5,14.2,292.0,294.0,20.9,24.2,23.8,25.2,25.4,0.344,0.344,0.234,0.3,258,2,256,2.1,258,1371.3,1,0.0,0.0,12,20,1,2022,3
470,23.439999999999998,86.0,22.5,28.9,1.5499999999999998,1009.7,985.7,100.0,59.0,100.0,100,0.355,8.7,11.3,287.0,292.0,21.6,24.8,23.9,25.1,25.4,0.335,0.34,0.235,0.3,320,52,268,54.2,320,1355.5,1,0.0,0.0,13,20,1,2022,3
471,23.419999999999998,91.0,21.9,26.8,2.4,1009.9,985.8,100.0,87.0,100.0,100,0.25,8.45,14.8,282.0,283.0,24.8,24.5,24.0,25.1,25.4,0.352,0.338,0.237,0.3,180,0,180,0.0,180,1251.8,1,0.0,0.0,14,20,1,2022,3
472,23.4,90.0,21.7,27.0,1.1,1009.3,985.5,100.0,37.0,100.0,100,0.28,8.2,13.0,322.0,314.0,21.2,24.0,24.0,25.1,25.4,0.349,0.338,0.238,0.3,91,1,90,1.3,91,1067.3,1,0.0,0.0,15,20,1,2022,3
473,23.2,91.0,22.3,27.5,2.3,1009.2,985.2,100.0,100.0,100.0,100,0.26,9.9,14.1,303.0,308.0,21.2,23.9,24.1,25.1,25.4,0.345,0.337,0.24,0.3,108,5,103,8.7,108,814.4,1,0.0,0.0,16,20,1,2022,3
474,23.0,92.0,21.9,26.7,3.5,1009.7,985.6,100.0,46.0,100.0,100,0.22,10.25,16.1,298.0,297.0,23.8,23.6,24.1,25.1,25.4,0.366,0.341,0.241,0.3,39,0,39,0.0,39,510.5,1,0.0,0.0,17,20,1,2022,3
475,22.8,93.0,21.7,26.0,2.3,1010.5,986.4,100.0,81.0,100.0,100,0.19,10.6,17.9,294.0,295.0,18.7,23.2,24.0,25.1,25.4,0.364,0.346,0.243,0.3,5,0,5,0.0,5,176.2,1,0.0,0.0,18,20,1,2022,3
476,22.75,94.0,21.9,27.3,2.5,1010.3,986.2,100.0,18.0,100.0,100,0.17,4.2,9.4,239.0,247.0,23.0,23.9,24.1,25.1,25.4,0.343,0.326,0.233,0.3,0,0,0,0.0,0,0.0,0,0.0,0.0,19,20,1,2022,3
477,22.7,96.0,22.1,26.7,1.95,1011.0,986.8,100.0,100.0,95.0,100,0.1,6.3,10.9,257.0,264.0,11.9,23.4,24.1,25.1,25.4,0.349,0.328,0.234,0.3,0,0,0,0.0,0,0.0,0,0.0,0.0,20,20,1,2022,3
478,22.5,95.0,22.0,26.5,1.4,1011.8,987.6,97.5,97.0,100.0,100,0.13,6.5,13.2,276.0,281.0,12.2,23.1,24.1,25.1,25.4,0.35,0.33,0.235,0.3,0,0,0,0.0,0,0.0,0,0.0,0.0,21,20,1,2022,3
479,22.7,94.0,21.8,26.1,1.8499999999999999,1012.1,987.9,95.0,6.0,100.0,100,0.16,8.5,17.0,316.0,306.0,15.65,23.0,24.0,25.1,25.4,0.372,0.338,0.237,0.299,0,0,0,0.0,0,0.0,0,0.0,0.0,22,20,1,2022,3
480,22.9,92.0,21.6,26.1,2.3,1011.9,987.7,82.0,22.0,99.0,100,0.22,10.5,19.2,322.0,312.0,19.1,22.8,23.9,25.1,25.4,0.362,0.346,0.238,0.299,0,0,0,0.0,0,0.0,0,0.0,0.0,23,20,1,2022,3
481,22.9,92.0,21.5,26.2,1.2,1011.0,986.9,69.0,10.0,98.0,100,0.24,9.4,17.8,320.0,318.0,18.0,22.7,23.8,25.1,25.4,0.349,0.345,0.24,0.299,0,0,0,0.0,0,0.0,0,0.0,0.0,0,21,1,2022,4
482,22.799999999999997,92.0,21.4,26.3,0.1,1010.2,986.1,56.0,15.0,20.0,100,0.24,8.2,16.0,311.0,314.0,16.2,22.6,23.8,25.1,25.4,0.34,0.342,0.242,0.299,0,0,0,0.0,0,0.0,0,0.0,0.0,1,21,1,2022,4
483,22.7,92.0,21.3,26.0,0.1,1009.7,985.6,42.0,9.0,7.0,100,0.23,8.4,15.3,320.0,309.0,14.4,22.5,23.7,25.0,25.4,0.333,0.339,0.244,0.299,0,0,0,0.0,0,0.0,0,0.0,0.0,2,21,1,2022,4
484,22.9,91.0,21.3,26.3,0.4,1009.6,985.5,91.0,1.0,100.0,100,0.23,6.9,13.3,321.0,311.0,14.4,22.4,23.6,25.0,25.4,0.331,0.336,0.245,0.299,0,0,0,0.0,0,0.0,0,0.0,0.0,3,21,1,2022,4
485,23.099999999999998,90.0,21.0,26.1,0.6,1009.4,985.3,85.0,2.0,88.0,100,0.26,7.0,13.6,324.0,320.0,13.5,22.3,23.5,25.0,25.4,0.333,0.333,0.246,0.299,0,0,0,0.0,0,0.0,0,0.0,0.0,4,21,1,2022,4
486,23.3,90.0,20.8,25.8,0.3,1009.6,985.5,74.5,0.0,47.0,100,0.29,7.1,15.0,315.0,318.0,12.6,22.2,23.4,25.0,25.4,0.328,0.331,0.247,0.299,0,0,0,0.0,0,0.0,0,0.0,0.0,5,21,1,2022,4
487,23.5,88.0,20.6,25.5,0.0,1010.2,986.0,64.0,1.0,55.0,100,0.32,9.4,17.1,310.5,312.0,15.1,22.1,23.4,25.0,25.4,0.323,0.329,0.248,0.299,4,0,4,0.0,4,51.8,1,0.0,0.0,6,21,1,2022,4
488,23.7,88.0,21.5,27.2,0.0,1010.6,986.6,31.0,1.0,37.0,22,0.37,8.8,14.8,306.0,311.0,16.2,22.6,23.2,25.0,25.4,0.316,0.318,0.244,0.299,76,13,63,62.4,76,294.4,1,71.0,0.0,7,21,1,2022,4
489,25.25,83.25,22.0,29.2,0.0,1011.1,987.2,25.0,1.0,32.0,20,0.6,8.2,11.2,299.0,303.0,17.6,24.0,23.3,25.0,25.4,0.312,0.316,0.245,0.299,321,166,155,377.7,321,620.9,1,3600.0,0.0,8,21,1,2022,4
490,26.8,78.5,22.5,30.7,0.05,1011.0,987.2,41.0,1.0,59.0,17,0.8,9.4,12.4,288.0,292.0,20.9,25.4,23.5,25.0,25.4,0.308,0.315,0.245,0.299,566,422,144,655.4,566,909.5,1,3600.0,0.0,9,21,1,2022,4
491,27.7,73.75,22.3,32.6,0.1,1010.8,987.0,51.0,34.0,37.5,19,1.0,11.2,14.1,272.0,274.0,23.95,26.8,23.8,25.0,25.4,0.304,0.312,0.245,0.299,791,617,174,764.2,791,1140.5,1,3600.0,0.0,10,21,1,2022,4
492,28.0,69.0,22.4,34.0,0.1,1010.0,986.5,52.0,21.0,16.0,79,1.2,10.5,13.4,251.5,265.0,27.0,27.9,24.1,24.9,25.4,0.3,0.31,0.246,0.299,858,689,169,749.6,858,1298.3,1,3600.0,0.0,11,21,1,2022,4
493,28.3,73.0,23.1,34.8,0.25,1009.7,986.0,46.0,15.0,34.5,71,1.02,9.2,11.4,231.0,235.0,27.9,28.8,24.5,24.9,25.4,0.295,0.307,0.246,0.299,935,762,173,784.5,935,1372.0,1,3600.0,0.0,12,21,1,2022,4
494,27.571428571428573,77.0,23.0,32.2,0.4,1009.7,985.9,60.0,51.0,53.0,99,0.76,10.166666666666666,14.2,239.0,243.0,28.8,29.0,24.9,24.9,25.4,0.294,0.305,0.246,0.299,797,583,214,607.0,797,1312.65,1,3600.0,0.0,13,21,1,2022,4
495,26.84285714285714,81.0,22.6,30.4,0.3,1009.2,985.4,74.0,41.0,45.0,99,0.64,11.133333333333333,9.1,261.0,263.0,27.4,27.9,25.2,24.9,25.4,0.294,0.303,0.246,0.299,312,56,256,63.1,312,1253.3,1,93.45,0.0,14,21,1,2022,4
496,26.114285714285714,83.0,22.5,28.7,1.1,1008.7,984.8,100.0,100.0,37.0,100,0.48,12.1,15.6,273.0,247.0,22.3,27.2,25.4,24.9,25.4,0.304,0.302,0.2465,0.299,230,1,229,1.3,230,1034.65,1,0.0,0.0,15,21,1,2022,4
497,25.385714285714286,85.0,22.3,28.6,2.5,1008.6,984.8,80.0,30.0,39.5,100,0.38666666666666666,12.066666666666666,8.4,285.0,329.0,24.1,26.1,25.5,25.0,25.4,0.325,0.304,0.247,0.299,164,8,156,13.8,164,816.0,1,0.0,0.0,16,21,1,2022,4
498,24.65714285714286,87.0,22.2,28.5,0.3,1008.8,984.8,100.0,65.0,42.0,100,0.29333333333333333,12.033333333333333,12.4,297.0,300.0,22.85,25.5,25.5,25.0,25.4,0.319,0.305,0.247,0.299,119,3,116,8.3,119,496.65,1,0.0,0.0,17,21,1,2022,4
499,23.928571428571427,93.0,21.9,26.3,1.0,1010.0,985.9,100.0,100.0,67.0,100,0.2,12.0,19.4,311.0,313.0,21.6,24.7,25.4,25.0,25.4,0.324,0.306,0.247,0.299,31,0,31,0.0,31,177.3,1,0.0,0.0,18,21,1,2022,4
500,23.2,91.0,21.6,26.5,0.3,1010.0,985.9,81.5,23.0,51.5,99,0.26,9.7,17.6,318.0,316.0,22.0,25.9,25.4,25.0,25.4,0.297,0.293,0.2465,0.299,0,0,0,0.0,0,88.65,0,0.0,0.0,19,21,1,2022,4
501,23.5,89.0,21.6,26.9,0.15,1010.4,986.3,63.0,13.0,36.0,100,0.32,8.7,15.6,322.0,320.0,16.9,24.7,25.4,25.0,25.4,0.296,0.292,0.246,0.299,0,0,0,0.0,0,0.0,0,0.0,0.0,20,21,1,2022,4
502,23.2,91.0,21.6,26.5,0.0,1011.2,987.1,75.0,7.0,53.0,99,0.26,8.433333333333334,16.6,317.0,312.0,14.8,24.0,25.3,25.0,25.4,0.294,0.292,0.247,0.299,0,0,0,0.0,0,0.0,0,0.0,0.0,21,21,1,2022,4
503,23.099999999999998,90.5,21.6,26.9,0.0,1011.4,987.3,86.0,1.0,91.0,100,0.275,8.166666666666666,15.0,322.0,316.0,15.8,23.6,25.2,25.0,25.4,0.292,0.292,0.247,0.299,0,0,0,0.0,0,0.0,0,0.0,0.0,22,21,1,2022,4
504,23.0,90.0,21.5,26.8,0.0,1011.3,987.2,66.0,1.6666666666666665,47.0,100,0.29,7.9,14.6,313.0,308.0,15.100000000000001,23.4,25.0,25.0,25.4,0.291,0.291,0.247,0.299,0,0,0,0.0,0,0.0,0,0.0,0.0,23,21,1,2022,4
505,22.9,90.0,21.2,26.1,0.0,1010.8,986.7,82.0,2.333333333333333,78.0,100,0.27,8.7,16.6,322.0,309.0,14.4,23.2,24.9,25.0,25.4,0.289,0.291,0.247,0.299,0,0,0,0.0,0,0.0,0,0.0,0.0,0,22,1,2022,5
506,23.2625,92.0,20.9,26.0,0.0,1010.0,985.8,87.0,3.0,90.0,100,0.22,4.8,12.3,318.0,310.0,14.4,22.9,24.7,25.0,25.4,0.288,0.29,0.247,0.299,0,0,0,0.0,0,0.0,0,0.0,0.0,1,22,1,2022,5
507,23.625,92.0,20.4,25.0,0.0,1009.7,985.5,62.0,5.0,68.5,100,0.22,6.5,8.4,304.0,295.0,8.3,22.6,24.5,25.0,25.4,0.286,0.29,0.247,0.299,0,0,0,0.0,0,0.0,0,0.0,0.0,2,22,1,2022,5
508,23.9875,88.0,20.4,26.1,0.0,1009.5,985.45,61.5,21.0,47.0,100,0.33,3.7,5.3,331.0,298.0,7.6,22.4,24.4,25.0,25.4,0.285,0.29,0.247,0.299,0,0,0,0.0,0,0.0,0,0.0,0.0,3,22,1,2022,5
509,24.35,82.0,20.2,27.0,0.0,1009.5,985.4,61.0,23.0,31.0,100,0.52,3.0,4.2,346.0,301.0,6.3,22.2,24.2,25.0,25.4,0.284,0.289,0.247,0.299,0,0,0,0.0,0,0.0,0,0.0,0.0,4,22,1,2022,5
510,24.7125,87.0,19.9,25.5,0.0,1009.7,985.5,41.0,2.0,15.0,100,0.35,4.1,5.7,322.0,305.0,5.0,22.0,24.1,25.0,25.4,0.283,0.289,0.247,0.299,0,0,0,0.0,0,0.0,0,0.0,0.0,5,22,1,2022,5
511,25.075,90.0,20.3,25.3,0.0,1010.0,985.8,32.0,2.0,0.0,99,0.26,4.6,7.9,321.0,309.0,7.2,21.9,23.9,25.0,25.4,0.282,0.288,0.248,0.299,7,1,6,12.6,7,146.25,1,1800.0,0.0,6,22,1,2022,5
512,25.4375,86.0,22.0,28.4,0.0,1010.4,986.4,45.0,4.333333333333334,18.0,100,0.43,6.6,11.3,311.0,307.0,11.9,23.7,23.9,24.9,25.4,0.279,0.287,0.248,0.299,136,67,69,323.5,136,292.5,1,3600.0,0.0,7,22,1,2022,5
513,25.8,81.0,22.3,30.0,0.0,1011.2,987.3,49.0,6.666666666666667,22.0,99,0.63,6.6,9.1,292.5,288.0,16.2,24.8,23.9,24.9,25.4,0.277,0.286,0.248,0.299,349,229,120,522.1,349,619.4,1,3600.0,0.0,8,22,1,2022,5
514,27.0,77.0,22.6,31.0,0.05,1011.1,987.3,53.0,9.0,25.0,100,0.81,9.4,11.7,274.0,279.0,19.25,26.2,24.1,24.9,25.4,0.275,0.285,0.248,0.299,573,416,157,646.6,573,879.8,1,3600.0,0.0,9,22,1,2022,5
515,27.7,74.0,22.6,31.8,0.1,1010.6,986.8499999999999,60.0,14.5,18.0,100,0.96,9.7,12.6,266.0,270.0,22.3,27.0,24.3,24.9,25.4,0.273,0.284,0.248,0.299,595,318,277,393.9,595,1140.2,1,3600.0,0.0,10,22,1,2022,5
516,27.433333333333334,77.0,24.1,35.0,0.1,1010.1,986.4,80.0,20.0,16.0,99,0.91,10.0,11.4,241.0,258.5,25.2,28.2,24.6,24.9,25.4,0.271,0.282,0.248,0.299,827,563,264,612.3,827,1298.6,1,3600.0,0.0,11,22,1,2022,5
517,27.166666666666664,81.0,24.2,33.8,0.5,1009.3,985.6,100.0,100.0,44.0,99,0.72,10.3,12.9,245.0,247.0,28.1,28.7,24.9,24.9,25.4,0.272,0.281,0.248,0.299,756,376,380,386.8,756,1372.8,1,3600.0,0.0,12,22,1,2022,5
518,26.9,83.0,23.8,31.5,0.4,1008.9,985.1,100.0,90.0,12.0,100,0.6,9.6,12.2,236.0,236.0,27.4,28.4,25.2,24.9,25.4,0.273,0.28,0.247,0.299,500,145,355,150.8,500,1357.8,1,2724.48,0.0,13,22,1,2022,5
519,24.9,85.0,22.3,28.3,0.5333333333333333,1009.4,985.5,100.0,100.0,68.0,100,0.47,11.9,16.8,267.0,261.0,30.2,27.5,25.5,24.9,25.4,0.34,0.281,0.2475,0.299,345,48,297,54.0,345,1254.7,1,0.0,0.0,14,22,1,2022,5
520,25.3,85.0,22.5,29.3,0.6666666666666667,1008.9,985.15,83.5,35.0,55.0,100,0.49,8.6,11.8,303.0,308.0,24.1,26.4,25.6,24.9,25.4,0.33,0.288,0.248,0.298,205,6,199,7.9,205,1070.4,1,0.0,0.0,15,22,1,2022,5
521,25.0,88.0,22.8,28.9,0.8,1008.8,984.8,67.0,34.0,10.0,100,0.34,8.4,12.9,295.0,293.0,21.25,25.6,25.6,25.0,25.4,0.326,0.292,0.248,0.298,109,3,106,5.2,109,791.8000000000001,1,0.0,0.0,16,22,1,2022,5
522,24.7,91.0,23.1,29.1,0.6,1009.0,985.0,51.0,21.0,4.0,100,0.28,7.8,12.5,304.0,303.0,18.4,25.3,25.6,25.0,25.4,0.322,0.295,0.248,0.298,105,5,100,13.8,105,513.2,1,0.0,0.0,17,22,1,2022,5
523,24.1,92.0,22.8,28.6,0.1,1009.4,985.4,36.0,5.0,2.0,100,0.24,6.1,12.5,320.0,319.0,13.7,24.7,25.5,25.0,25.4,0.315,0.296,0.248,0.298,40,0,40,0.0,40,178.3,1,0.0,0.0,18,22,1,2022,5
524,24.1,91.5,22.6,28.4,0.0,1010.0,986.0,43.0,11.0,5.0,100,0.26,6.4,12.3,308.0,310.0,10.1,25.4,25.5,25.0,25.4,0.296,0.283,0.247,0.298,0,0,0,0.0,0,0.0,0,0.0,0.0,19,22,1,2022,5
525,24.1,91.0,22.5,28.5,0.0,1010.6,986.6,62.0,28.0,11.0,100,0.28,5.7,10.2,325.0,312.0,11.9,24.7,25.5,25.0,25.4,0.293,0.283,0.247,0.298,0,0,0,0.0,0,0.0,0,0.0,0.0,20,22,1,2022,5
526,24.1,89.5,22.3,27.9,0.0,1010.6,986.6,35.0,4.0,2.0,100,0.32,8.8,14.6,325.0,320.0,14.4,24.3,25.4,25.0,25.4,0.291,0.283,0.247,0.298,0,0,0,0.0,0,0.0,0,0.0,0.0,21,22,1,2022,5
527,23.950000000000003,88.0,21.9,27.5,0.0,1010.4,986.4,38.0,8.0,2.0,100,0.36,9.5,17.0,323.0,324.0,15.5,23.9,25.3,25.0,25.4,0.289,0.283,0.247,0.298,0,0,0,0.0,0,0.0,0,0.0,0.0,22,22,1,2022,5
528,23.8,88.0,21.6,27.0,0.0,1010.3,986.2,34.0,3.0,2.0,100,0.37,9.05,18.6,320.0,319.0,17.6,23.7,25.1,25.0,25.4,0.287,0.283,0.247,0.298,0,0,0,0.0,0,0.0,0,0.0,0.0,23,22,1,2022,5
